name,id,keyword,followers,tracks_url
Saxophone House 2025 🎷 Tropical Chill ,2sUnJwjAHuUU9Ums6jp6aA,Chill,1160665844,https://api.spotify.com/v1/playlists/2sUnJwjAHuUU9Ums6jp6aA/tracks
CAFÉ DEL MAR / Lounge & Chill House 2025,0erLbMzXD0U9xJUPlOeKrX,Chill,ibizachilloutclassics,https://api.spotify.com/v1/playlists/0erLbMzXD0U9xJUPlOeKrX/tracks
Lounge Music 🍹Summer Bar & Cafe Playlist,16gXsmg48MdRTqCLNnx9Cu,Chill,21ifzjxggdajdpc4w6iqxslkq,https://api.spotify.com/v1/playlists/16gXsmg48MdRTqCLNnx9Cu/tracks
SUNDAY CHILL 2025,0lhUeIGes1IPw6N83Lyk6t,Chill,wtqcx4bhr0878brhugiqm5ms2,https://api.spotify.com/v1/playlists/0lhUeIGes1IPw6N83Lyk6t/tracks
Lente Chill 2025 🌼 Zonnige Dag,1iAsI7NQbe36TJ8n9U3vnc,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/1iAsI7NQbe36TJ8n9U3vnc/tracks
Bosa Nova Covers 2025 🌴 bossa nova music,16QguuMuZbadn8Ll3exMpS,Chill,binfq2t4t5bkn4wrjo9t3hlct,https://api.spotify.com/v1/playlists/16QguuMuZbadn8Ll3exMpS/tracks
Restaurant Lounge Music 2025 🍸 Background Music 🍸 Dinner Chill,345eEKyGNyluygzMsS1n1H,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/345eEKyGNyluygzMsS1n1H/tracks
Office Chill 2025  💻  Work Playlist,7EoECW7Ug1sDfPiuuY5Gka,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/7EoECW7Ug1sDfPiuuY5Gka/tracks
Yoga Music Playlist 2025,4mfobAcyw052F12K4vwtoW,Chill,z9d0hwzjkocna93fvij36mezv,https://api.spotify.com/v1/playlists/4mfobAcyw052F12K4vwtoW/tracks
Lounge Covers Of Popular Songs 2025 - Chill Out Lounge Bar & Restaurant Covers Music,2Xuz1tOysVWkTfGvyn9mVY,Chill,oawq5t2haqvy6om0aykx1u5oh,https://api.spotify.com/v1/playlists/2Xuz1tOysVWkTfGvyn9mVY/tracks
Soul Classics - The Greatest Soul Songs,73sIU7MIIIrSh664eygyjm,Chill,warner.music.central.europe,https://api.spotify.com/v1/playlists/73sIU7MIIIrSh664eygyjm/tracks
"MORNING || Sunrise, Relaxing & Chill",0k7DBl30ZFK7xfSLa4JzQg,Chill,1171119800,https://api.spotify.com/v1/playlists/0k7DBl30ZFK7xfSLa4JzQg/tracks
Work Playlist 2025 🔋Office Music,5mej72M9qKQ6MeZIRgilhO,Chill,21ifzjxggdajdpc4w6iqxslkq,https://api.spotify.com/v1/playlists/5mej72M9qKQ6MeZIRgilhO/tracks
Piano Covers of Famous Songs,6sWNtqsq1ip2quKm6U3UvD,Chill,dlf2he31zeeqiypbj1tde310e,https://api.spotify.com/v1/playlists/6sWNtqsq1ip2quKm6U3UvD/tracks
Zomer Chill 2025 🌴 Zonnige Hits ,6KbJRwqCwVtzanphRmaGh3,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/6KbJRwqCwVtzanphRmaGh3/tracks
Classical Bangers 🎹🎻,27Zm1P410dPfedsdoO9fqm,Chill,11102108940,https://api.spotify.com/v1/playlists/27Zm1P410dPfedsdoO9fqm/tracks
Salon Music 2025 🌸 Chill Hits,2wL3L0LtLOt64Et7FrDV98,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/2wL3L0LtLOt64Et7FrDV98/tracks
Rustige chille muziek,50UdEGzrKNVYHNgbpixMUP,Chill,1172780682,https://api.spotify.com/v1/playlists/50UdEGzrKNVYHNgbpixMUP/tracks
late night study vibe  ,0tBZqbt0BDrGQX8XhD6Ndg,Chill,muziekluisteraar2,https://api.spotify.com/v1/playlists/0tBZqbt0BDrGQX8XhD6Ndg/tracks
Morning Chill 2025 ☕️ Wake Up Relax,5UjL3otSbXqrm8Ezholgje,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/5UjL3otSbXqrm8Ezholgje/tracks
OLD SUMMER VIBES 🌅,6QYQQWUQ14VxtOyju93Hn6,Chill,xwy6x5qebzkrt6rk9s65lfls1,https://api.spotify.com/v1/playlists/6QYQQWUQ14VxtOyju93Hn6/tracks
SUMMER BEATS 2025 🌞 SOMMER 2025 Hits  & Remixes 🌞 Summer Vibes 🌴 Chill & Relax ,1VTUf8JJ2Gd2fouH5Ybr8d,Chill,wlf3n20i5jg1jvvvckpn9pdff,https://api.spotify.com/v1/playlists/1VTUf8JJ2Gd2fouH5Ybr8d/tracks
Restaurant Music 2025,2UJd3dltnIGkMqhAbQSkbS,Chill,jc415,https://api.spotify.com/v1/playlists/2UJd3dltnIGkMqhAbQSkbS/tracks
Café Music 2025 ☕ Chill Vibes -  Coffee Lounge - Morning Chill - Relax - Summer Edition,11nSleISOWGLboWVWPDuwB,Chill,43xzlwfo0tft7hn5r5e6dksrd,https://api.spotify.com/v1/playlists/11nSleISOWGLboWVWPDuwB/tracks
Sunday Morning Coffeehouse,1IzPLX8l1tXmXUB5OdHhDx,Chill,marinuz,https://api.spotify.com/v1/playlists/1IzPLX8l1tXmXUB5OdHhDx/tracks
Chill Morning 2025 🏔☀️,1MYMvIg3oqulwr99qbjL8W,Chill,x9uqoaxrtq1flneitrkvggrfh,https://api.spotify.com/v1/playlists/1MYMvIg3oqulwr99qbjL8W/tracks
Ibiza Summer Mix 2025 🍓 Best Of Tropical Deep House Music Chill Out Mix,6VjXyFH9Z5HlGPAjRBKR32,Chill,a1urlgl3rrhjh3vybizy9oswn,https://api.spotify.com/v1/playlists/6VjXyFH9Z5HlGPAjRBKR32/tracks
Home Office & Chill,10ScjU9CPSKf1I4Ff7yRkh,Chill,andreadluna,https://api.spotify.com/v1/playlists/10ScjU9CPSKf1I4Ff7yRkh/tracks
Saturday Morning Coffee,233ot8wYbPJ1BrZORXSMD4,Chill,8yng2ptktmo0csoo5oef3cozp,https://api.spotify.com/v1/playlists/233ot8wYbPJ1BrZORXSMD4/tracks
Lounge 80’ and 90’s covers hits,4Hb6QS5M7M3ihE4jCd2ZOn,Chill,1220436144,https://api.spotify.com/v1/playlists/4Hb6QS5M7M3ihE4jCd2ZOn/tracks
Summer Lounge 🍦 2025 Chill Vibes,38fBnemYrpIUWFRfDZYcog,Chill,21ifzjxggdajdpc4w6iqxslkq,https://api.spotify.com/v1/playlists/38fBnemYrpIUWFRfDZYcog/tracks
Sunday Chill  ☕ Morning Playlist :-),7eJQG4OIFTd5KsFua7IEBj,Chill,djfrogfree,https://api.spotify.com/v1/playlists/7eJQG4OIFTd5KsFua7IEBj/tracks
"Lofi Fruits Music - lofi hip hop beats to study, relax & sleep to",3LFIBdP7eZXJKqf3guepZ1,Chill,a902190,https://api.spotify.com/v1/playlists/3LFIBdP7eZXJKqf3guepZ1/tracks
Ibiza Chillout 2025,2STxNfD9PhQcaJfx0I5qEw,Chill,lrju68vuyovybp25a38tnzyn0,https://api.spotify.com/v1/playlists/2STxNfD9PhQcaJfx0I5qEw/tracks
Café del Mar Ibiza Chillout 2025,6H2OZzeoaIdgL17NoF6jD5,Chill,cafedelmarofficial,https://api.spotify.com/v1/playlists/6H2OZzeoaIdgL17NoF6jD5/tracks
Zomer Avond 2025 🌞 Summer Lounge,3pCpaFEShwGCEP9cUmRdCu,Chill,p9fyaay50vpngm85s84q84kyb,https://api.spotify.com/v1/playlists/3pCpaFEShwGCEP9cUmRdCu/tracks
Tropical House 🏝 Hits 2025,2SRbIs0eBQwHeTP7kErjwo,Chill,sonymusicentertainment,https://api.spotify.com/v1/playlists/2SRbIs0eBQwHeTP7kErjwo/tracks
Bossa Nova Lounge 2025 🌞 Summer Vibes ,5V1QWijh5hjoIHwjkz7jDv,Chill,43xzlwfo0tft7hn5r5e6dksrd,https://api.spotify.com/v1/playlists/5V1QWijh5hjoIHwjkz7jDv/tracks
HOLIDAY VIBES 2025  🌴 ☀️  SUMMER VIBES  🌴,4VB07XnTeXboySoOyCMTtX,Chill,hotamazingnetwork,https://api.spotify.com/v1/playlists/4VB07XnTeXboySoOyCMTtX/tracks
Chill Out Blues & Soul,3Z72yCEE7ejhoTr7C8liQy,Chill,siraheimgartner,https://api.spotify.com/v1/playlists/3Z72yCEE7ejhoTr7C8liQy/tracks
Sleep lofi,5FmmxErJczcrEwIFGIviYo,Chill,chilledcow,https://api.spotify.com/v1/playlists/5FmmxErJczcrEwIFGIviYo/tracks
Heerlijke rustige Lounge Music  - Lekker Chillen,0iePc9dU3FtxRiLbw03r5V,Chill,1160413037,https://api.spotify.com/v1/playlists/0iePc9dU3FtxRiLbw03r5V/tracks
Morning Chill 🌞,6mgWUWQhvRnkuxUZaE96vZ,Chill,piecewiseofficial,https://api.spotify.com/v1/playlists/6mgWUWQhvRnkuxUZaE96vZ/tracks
Covers & Chill 2025  ☀️ 🌴 Lounge Covers To Relax,5ODAwlEw1xuk2k1fpvsTAY,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/5ODAwlEw1xuk2k1fpvsTAY/tracks
RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,4lAmoS7H9HzPmelN7joKG6,Chill,binfq2t4t5bkn4wrjo9t3hlct,https://api.spotify.com/v1/playlists/4lAmoS7H9HzPmelN7joKG6/tracks
Afterwork Music 2025 🍹,1LLlVPAAh9jbdKhPurMVkL,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/1LLlVPAAh9jbdKhPurMVkL/tracks
