playlist_id,group,avg_popularity,median_popularity,track_count,avg_duration
008G1BbvK1NQvbAV8MHvDz,Genre,63.8235294117647,69.0,34,3.397460294117647
00FD7uok5bnbXdWQB4WXtB,Mood,45.48979591836735,47.0,98,2.672427210884354
00FwtfyOlLC0sRE01NBoOu,Genre,25.75,21.0,8,5.5314499999999995
00KjsgI9t715OJFEUFziGJ,Genre,51.98148148148148,66.5,54,4.346931481481481
00k3HRtwf1kkByBj5XP9ST,Mood,50.5,53.5,20,3.2054066666666663
00lcDNEw2Ych9srALHrMEr,Genre,64.15789473684211,65.0,57,3.080385380116959
00uumXArXHtI98PWSDOIFY,Mood,40.43877551020408,44.0,98,3.708938775510204
01MRi9jFGeSEEttKOk7VgR,Genre,61.82051282051282,71.0,39,3.1938542735042734
01Y7Asgj89GzOHyNnXBfkh,Mood,53.75,59.0,12,2.779026388888889
01gdgZCnfAoiMc5hz9jeDF,Mood,44.9375,47.0,96,2.7987104166666668
01vuO5VIsZlkVnCUAHno73,Genre,56.46153846153846,60.0,13,3.014228205128205
01vuO5VIsZlkVnCUAHno73,Mood,42.35294117647059,37.0,34,3.4639813725490196
01xqZBqWoeaGC7ZgWZLFde,Mood,58.76190476190476,61.5,42,0.8425646825396826
02Bnypbya1JiwAiJeeYanB,Mood,70.62962962962963,73.0,54,2.945938888888889
02Fi1fscFMD3gsLdkE8awu,Genre,38.26923076923077,37.0,26,3.2342423076923077
02Kbcas2yMvwopYqAtpEsi,Genre,35.208333333333336,34.0,24,2.6904888888888885
02j4NQ266Xcsofpj6yor5G,Genre,18.533333333333335,16.5,60,2.834596388888889
02vaigKqJDgrP09lBe8b79,Genre,39.85,39.0,60,4.434888888888889
03LnpD0KNDj08hpwMTFMj6,Genre,63.666666666666664,64.5,12,4.260422222222222
03PKLp1XC1GdqhzIMWgsBa,Genre,68.5,65.5,6,2.9541527777777774
03pV3o8B0a0KkTCRmyqJnp,Genre,54.76,54.0,25,2.9495400000000003
03sDEv7FN58Mb9CJOs1Tgn,Genre,63.98780487804878,64.5,82,3.097164837398374
04Al1VKUohfKTqdOY7aJzi,Genre,22.984615384615385,23.0,65,3.9035148717948718
04Bx6c3eZmYdWZRkQrLB7l,Mood,13.96,0.0,100,2.1349324999999997
04EKmJhBK8dLL6SONP5dyq,Mood,63.333333333333336,62.0,12,3.399366666666667
04IlodPBUkKLeeWlmyhugH,Genre,23.5531914893617,24.5,94,2.8258296099290785
04JL7sLgHxK8VkYq4pUdjF,Genre,8.793650793650794,0.0,63,4.257194708994708
04K8ZbCBT6MvPwyL1YLOkh,Mood,36.229166666666664,36.0,96,2.4769840277777777
04tYDP1L87keLV1FIJifJ0,Genre,24.24,29.0,100,3.4832715000000003
05FL4yhVZ4CKIx74erhtzn,Genre,25.011904761904763,26.0,84,3.6781208333333333
05UHTC9c7WZ01HCyx4OxrA,Genre,21.372093023255815,21.0,43,3.694712015503876
05XaI9AK0bhY5Chkupmk5l,Genre,32.627450980392155,34.0,51,3.774087254901961
064RdfIj9hWWopvle99QcK,Genre,40.350515463917525,38.0,97,2.5937938144329897
06KCwQBdFNLQU6eVv8b1JA,Genre,35.54430379746835,40.0,79,2.8231940928270043
06yZJDla5EaYOK7deV1LU9,Genre,15.6,16.0,20,1.0088741666666667
077wcDzla97jMNpRor0AeL,Mood,74.0,77.0,17,4.0519372549019606
078S2nAOziz5SyzXNnH0yV,Mood,34.25423728813559,37.0,59,7.690427401129944
